[Arguments] => mode: train, epoches: 10, batch: 8, load: None, save: first
Train[01/10]: 340/512, [=================================>                ],  66.41%, loss=0.7086, total=465.1894
Train[01/10]: 341/512, [=================================>                ],  66.60%, loss=0.6901, total=465.8795
Train[01/10]: 342/512, [=================================>                ],  66.80%, loss=1.0921, total=466.9715
Train[01/10]: 343/512, [=================================>                ],  66.99%, loss=0.7573, total=467.7288
Train[01/10]: 344/512, [=================================>                ],  67.19%, loss=1.1386, total=468.8674
Train[01/10]: 345/512, [=================================>                ],  67.38%, loss=0.6132, total=469.4806
Train[01/10]: 346/512, [=================================>                ],  67.58%, loss=0.6347, total=470.1153
Train[01/10]: 347/512, [=================================>                ],  67.77%, loss=0.7474, total=470.8627
Train[01/10]: 348/512, [=================================>                ],  67.97%, loss=0.6801, total=471.5428
Train[01/10]: 349/512, [==================================>               ],  68.16%, loss=0.7037, total=472.2466
Train[01/10]: 350/512, [==================================>               ],  68.36%, loss=0.7820, total=473.0285
Train[01/10]: 351/512, [==================================>               ],  68.55%, loss=0.5737, total=473.6022
Train[01/10]: 352/512, [==================================>               ],  68.75%, loss=0.5425, total=474.1447
Train[01/10]: 353/512, [==================================>               ],  68.95%, loss=0.7001, total=474.8448
Train[01/10]: 354/512, [==================================>               ],  69.14%, loss=0.5586, total=475.4034
Train[01/10]: 355/512, [==================================>               ],  69.34%, loss=0.6711, total=476.0745
Train[01/10]: 356/512, [==================================>               ],  69.53%, loss=0.7029, total=476.7775
Train[01/10]: 357/512, [==================================>               ],  69.73%, loss=0.7169, total=477.4944
Train[01/10]: 358/512, [==================================>               ],  69.92%, loss=0.6876, total=478.1820
Train[01/10]: 359/512, [===================================>              ],  70.12%, loss=0.8802, total=479.0622
Train[01/10]: 360/512, [===================================>              ],  70.31%, loss=0.6709, total=479.7331
Train[01/10]: 361/512, [===================================>              ],  70.51%, loss=0.6787, total=480.4119
Train[01/10]: 362/512, [===================================>              ],  70.70%, loss=0.6516, total=481.0634
Train[01/10]: 363/512, [===================================>              ],  70.90%, loss=0.8095, total=481.8729
Train[01/10]: 364/512, [===================================>              ],  71.09%, loss=0.7402, total=482.6131
Train[01/10]: 365/512, [===================================>              ],  71.29%, loss=0.7618, total=483.3749
Train[01/10]: 366/512, [===================================>              ],  71.48%, loss=0.7132, total=484.0882
Train[01/10]: 367/512, [===================================>              ],  71.68%, loss=0.6995, total=484.7877
Train[01/10]: 368/512, [===================================>              ],  71.88%, loss=0.9283, total=485.7160
Train[01/10]: 369/512, [====================================>             ],  72.07%, loss=0.6162, total=486.3322
Train[01/10]: 370/512, [====================================>             ],  72.27%, loss=0.7949, total=487.1271
Train[01/10]: 371/512, [====================================>             ],  72.46%, loss=0.7466, total=487.8737
Train[01/10]: 372/512, [====================================>             ],  72.66%, loss=0.7941, total=488.6677
Train[01/10]: 373/512, [====================================>             ],  72.85%, loss=0.7076, total=489.3754
Train[01/10]: 374/512, [====================================>             ],  73.05%, loss=0.8584, total=490.2338
Train[01/10]: 375/512, [====================================>             ],  73.24%, loss=0.6379, total=490.8716
Train[01/10]: 376/512, [====================================>             ],  73.44%, loss=0.8238, total=491.6954
Train[01/10]: 377/512, [====================================>             ],  73.63%, loss=0.6871, total=492.3825
Train[01/10]: 378/512, [====================================>             ],  73.83%, loss=0.5956, total=492.9781
Train[01/10]: 379/512, [=====================================>            ],  74.02%, loss=0.6967, total=493.6748
Train[01/10]: 380/512, [=====================================>            ],  74.22%, loss=0.7948, total=494.4696
Train[01/10]: 381/512, [=====================================>            ],  74.41%, loss=0.7069, total=495.1764
Train[01/10]: 382/512, [=====================================>            ],  74.61%, loss=0.6360, total=495.8124
Train[01/10]: 383/512, [=====================================>            ],  74.80%, loss=0.7031, total=496.5155
Train[01/10]: 384/512, [=====================================>            ],  75.00%, loss=1.0217, total=497.5373
Train[01/10]: 385/512, [=====================================>            ],  75.20%, loss=0.5527, total=498.0900
Train[01/10]: 386/512, [=====================================>            ],  75.39%, loss=0.7814, total=498.8713
Train[01/10]: 387/512, [=====================================>            ],  75.59%, loss=0.5971, total=499.4684
Train[01/10]: 388/512, [=====================================>            ],  75.78%, loss=0.7028, total=500.1712
Train[01/10]: 389/512, [=====================================>            ],  75.98%, loss=1.0082, total=501.1793
Train[01/10]: 390/512, [======================================>           ],  76.17%, loss=0.6652, total=501.8446
Train[01/10]: 391/512, [======================================>           ],  76.37%, loss=0.7441, total=502.5886
Train[01/10]: 392/512, [======================================>           ],  76.56%, loss=0.6095, total=503.1982
Train[01/10]: 393/512, [======================================>           ],  76.76%, loss=0.5839, total=503.7820
Train[01/10]: 394/512, [======================================>           ],  76.95%, loss=0.6065, total=504.3885
Train[01/10]: 395/512, [======================================>           ],  77.15%, loss=0.7908, total=505.1794
Train[01/10]: 396/512, [======================================>           ],  77.34%, loss=0.6445, total=505.8239
Train[01/10]: 397/512, [======================================>           ],  77.54%, loss=0.9489, total=506.7728
Train[01/10]: 398/512, [======================================>           ],  77.73%, loss=0.5756, total=507.3484
Train[01/10]: 399/512, [======================================>           ],  77.93%, loss=0.9542, total=508.3027
Train[01/10]: 400/512, [=======================================>          ],  78.12%, loss=0.6625, total=508.9651
Train[01/10]: 401/512, [=======================================>          ],  78.32%, loss=0.6020, total=509.5671
Train[01/10]: 402/512, [=======================================>          ],  78.52%, loss=0.6665, total=510.2336
Train[01/10]: 403/512, [=======================================>          ],  78.71%, loss=0.6543, total=510.8879
Train[01/10]: 404/512, [=======================================>          ],  78.91%, loss=0.6184, total=511.5063
Train[01/10]: 405/512, [=======================================>          ],  79.10%, loss=0.5895, total=512.0957
Train[01/10]: 406/512, [=======================================>          ],  79.30%, loss=0.6439, total=512.7396
Train[01/10]: 407/512, [=======================================>          ],  79.49%, loss=0.6845, total=513.4241
Train[01/10]: 408/512, [=======================================>          ],  79.69%, loss=0.6515, total=514.0757
Train[01/10]: 409/512, [=======================================>          ],  79.88%, loss=0.6376, total=514.7133
Train[01/10]: 410/512, [========================================>         ],  80.08%, loss=0.8174, total=515.5307
Train[01/10]: 411/512, [========================================>         ],  80.27%, loss=0.6290, total=516.1597
Train[01/10]: 412/512, [========================================>         ],  80.47%, loss=0.6091, total=516.7687
Train[01/10]: 413/512, [========================================>         ],  80.66%, loss=0.4379, total=517.2067
Train[01/10]: 414/512, [========================================>         ],  80.86%, loss=0.6721, total=517.8788
Train[01/10]: 415/512, [========================================>         ],  81.05%, loss=0.9563, total=518.8351
Train[01/10]: 416/512, [========================================>         ],  81.25%, loss=0.6142, total=519.4493
Train[01/10]: 417/512, [========================================>         ],  81.45%, loss=0.4576, total=519.9069
Train[01/10]: 418/512, [========================================>         ],  81.64%, loss=0.7882, total=520.6951
Train[01/10]: 419/512, [========================================>         ],  81.84%, loss=0.7893, total=521.4844
Train[01/10]: 420/512, [=========================================>        ],  82.03%, loss=0.7725, total=522.2569
Train[01/10]: 421/512, [=========================================>        ],  82.23%, loss=0.7068, total=522.9637
Train[01/10]: 422/512, [=========================================>        ],  82.42%, loss=0.7940, total=523.7577
Train[01/10]: 423/512, [=========================================>        ],  82.62%, loss=0.6961, total=524.4538
Train[01/10]: 424/512, [=========================================>        ],  82.81%, loss=0.6210, total=525.0748
Train[01/10]: 425/512, [=========================================>        ],  83.01%, loss=1.2695, total=526.3443
Train[01/10]: 426/512, [=========================================>        ],  83.20%, loss=0.6287, total=526.9730
Train[01/10]: 427/512, [=========================================>        ],  83.40%, loss=0.6645, total=527.6375
Train[01/10]: 428/512, [=========================================>        ],  83.59%, loss=0.7169, total=528.3544
Train[01/10]: 429/512, [=========================================>        ],  83.79%, loss=0.6919, total=529.0462
Train[01/10]: 430/512, [=========================================>        ],  83.98%, loss=0.7390, total=529.7852
Train[01/10]: 431/512, [==========================================>       ],  84.18%, loss=0.7269, total=530.5121
Train[01/10]: 432/512, [==========================================>       ],  84.38%, loss=0.8803, total=531.3925
Train[01/10]: 433/512, [==========================================>       ],  84.57%, loss=0.5957, total=531.9882
Train[01/10]: 434/512, [==========================================>       ],  84.77%, loss=1.2548, total=533.2430
Train[01/10]: 435/512, [==========================================>       ],  84.96%, loss=0.9798, total=534.2228
Train[01/10]: 436/512, [==========================================>       ],  85.16%, loss=0.6908, total=534.9136
Train[01/10]: 437/512, [==========================================>       ],  85.35%, loss=0.7531, total=535.6666
Train[01/10]: 438/512, [==========================================>       ],  85.55%, loss=0.6805, total=536.3472
Train[01/10]: 439/512, [==========================================>       ],  85.74%, loss=0.6907, total=537.0379
Train[01/10]: 440/512, [==========================================>       ],  85.94%, loss=0.6855, total=537.7234
Train[01/10]: 441/512, [===========================================>      ],  86.13%, loss=0.6213, total=538.3447
Train[01/10]: 442/512, [===========================================>      ],  86.33%, loss=0.6254, total=538.9701
Train[01/10]: 443/512, [===========================================>      ],  86.52%, loss=0.6462, total=539.6162
Train[01/10]: 444/512, [===========================================>      ],  86.72%, loss=0.7458, total=540.3620
Train[01/10]: 445/512, [===========================================>      ],  86.91%, loss=0.6989, total=541.0609
Train[01/10]: 446/512, [===========================================>      ],  87.11%, loss=0.6095, total=541.6703
Train[01/10]: 447/512, [===========================================>      ],  87.30%, loss=0.7029, total=542.3732
Train[01/10]: 448/512, [===========================================>      ],  87.50%, loss=0.8705, total=543.2438
Train[01/10]: 449/512, [===========================================>      ],  87.70%, loss=0.5904, total=543.8341
Train[01/10]: 450/512, [===========================================>      ],  87.89%, loss=0.7184, total=544.5525
Train[01/10]: 451/512, [============================================>     ],  88.09%, loss=0.8218, total=545.3743
Train[01/10]: 452/512, [============================================>     ],  88.28%, loss=0.8795, total=546.2538
Train[01/10]: 453/512, [============================================>     ],  88.48%, loss=0.8185, total=547.0724
Train[01/10]: 454/512, [============================================>     ],  88.67%, loss=0.6426, total=547.7150
Train[01/10]: 455/512, [============================================>     ],  88.87%, loss=0.6567, total=548.3717
Train[01/10]: 456/512, [============================================>     ],  89.06%, loss=0.7899, total=549.1616
Train[01/10]: 457/512, [============================================>     ],  89.26%, loss=0.6360, total=549.7976
Train[01/10]: 458/512, [============================================>     ],  89.45%, loss=0.6069, total=550.4045
Train[01/10]: 459/512, [============================================>     ],  89.65%, loss=0.6888, total=551.0933
Train[01/10]: 460/512, [============================================>     ],  89.84%, loss=0.5929, total=551.6862
Train[01/10]: 461/512, [=============================================>    ],  90.04%, loss=0.6740, total=552.3602
Train[01/10]: 462/512, [=============================================>    ],  90.23%, loss=0.6528, total=553.0130
Train[01/10]: 463/512, [=============================================>    ],  90.43%, loss=0.8215, total=553.8345
Train[01/10]: 464/512, [=============================================>    ],  90.62%, loss=0.4911, total=554.3256
Train[01/10]: 465/512, [=============================================>    ],  90.82%, loss=0.6861, total=555.0117
Train[01/10]: 466/512, [=============================================>    ],  91.02%, loss=0.6423, total=555.6540
Train[01/10]: 467/512, [=============================================>    ],  91.21%, loss=0.5436, total=556.1976
Train[01/10]: 468/512, [=============================================>    ],  91.41%, loss=0.6333, total=556.8309
Train[01/10]: 469/512, [=============================================>    ],  91.60%, loss=0.6757, total=557.5065
Train[01/10]: 470/512, [=============================================>    ],  91.80%, loss=0.6071, total=558.1137
Train[01/10]: 471/512, [=============================================>    ],  91.99%, loss=0.5828, total=558.6965
Train[01/10]: 472/512, [==============================================>   ],  92.19%, loss=0.9562, total=559.6527
Train[01/10]: 473/512, [==============================================>   ],  92.38%, loss=0.6811, total=560.3338
Train[01/10]: 474/512, [==============================================>   ],  92.58%, loss=0.4762, total=560.8100
Train[01/10]: 475/512, [==============================================>   ],  92.77%, loss=0.5983, total=561.4083
Train[01/10]: 476/512, [==============================================>   ],  92.97%, loss=0.6747, total=562.0830
Train[01/10]: 477/512, [==============================================>   ],  93.16%, loss=0.6262, total=562.7092
Train[01/10]: 478/512, [==============================================>   ],  93.36%, loss=0.5482, total=563.2574
Train[01/10]: 479/512, [==============================================>   ],  93.55%, loss=0.5466, total=563.8040
Train[01/10]: 480/512, [==============================================>   ],  93.75%, loss=0.7176, total=564.5215
Train[01/10]: 481/512, [==============================================>   ],  93.95%, loss=0.5993, total=565.1209
Train[01/10]: 482/512, [===============================================>  ],  94.14%, loss=0.5435, total=565.6643
Train[01/10]: 483/512, [===============================================>  ],  94.34%, loss=0.5751, total=566.2394
Train[01/10]: 484/512, [===============================================>  ],  94.53%, loss=0.7370, total=566.9764
Train[01/10]: 485/512, [===============================================>  ],  94.73%, loss=0.5638, total=567.5403
Train[01/10]: 486/512, [===============================================>  ],  94.92%, loss=0.7385, total=568.2788
Train[01/10]: 487/512, [===============================================>  ],  95.12%, loss=0.7833, total=569.0621
Train[01/10]: 488/512, [===============================================>  ],  95.31%, loss=0.6726, total=569.7347
Train[01/10]: 489/512, [===============================================>  ],  95.51%, loss=0.5694, total=570.3041
Train[01/10]: 490/512, [===============================================>  ],  95.70%, loss=0.7659, total=571.0700
Train[01/10]: 491/512, [===============================================>  ],  95.90%, loss=0.7062, total=571.7762
Train[01/10]: 492/512, [================================================> ],  96.09%, loss=0.6081, total=572.3842
Train[01/10]: 493/512, [================================================> ],  96.29%, loss=0.5462, total=572.9305
Train[01/10]: 494/512, [================================================> ],  96.48%, loss=0.6802, total=573.6107
Train[01/10]: 495/512, [================================================> ],  96.68%, loss=0.5983, total=574.2090
Train[01/10]: 496/512, [================================================> ],  96.88%, loss=0.6320, total=574.8409
Train[01/10]: 497/512, [================================================> ],  97.07%, loss=0.5481, total=575.3890
Train[01/10]: 498/512, [================================================> ],  97.27%, loss=0.6467, total=576.0357
Train[01/10]: 499/512, [================================================> ],  97.46%, loss=0.6422, total=576.6779
Train[01/10]: 500/512, [================================================> ],  97.66%, loss=0.6619, total=577.3397
Train[01/10]: 501/512, [================================================> ],  97.85%, loss=0.7057, total=578.0454
Train[01/10]: 502/512, [=================================================>],  98.05%, loss=0.8318, total=578.8772
Train[01/10]: 503/512, [=================================================>],  98.24%, loss=0.5587, total=579.4359
Train[01/10]: 504/512, [=================================================>],  98.44%, loss=0.7153, total=580.1512
Train[01/10]: 505/512, [=================================================>],  98.63%, loss=0.5708, total=580.7220
Train[01/10]: 506/512, [=================================================>],  98.83%, loss=0.9234, total=581.6455
Train[01/10]: 507/512, [=================================================>],  99.02%, loss=0.6158, total=582.2612
Train[01/10]: 508/512, [=================================================>],  99.22%, loss=0.6594, total=582.9206
Train[01/10]: 509/512, [=================================================>],  99.41%, loss=1.5485, total=584.4690
Train[01/10]: 510/512, [=================================================>],  99.61%, loss=0.7004, total=585.1695
Train[01/10]: 511/512, [=================================================>],  99.80%, loss=0.5206, total=585.6901
Train[01/10]: 512/512, [==================================================], 100.00%, loss=0.6179, total=586.3080
Train[01/10]: 512/512, [==================================================], 100.00%, loss=1.1451

Eva[02/10]: 001/128, [>                                                 ],   0.78%, loss=0.5974, total=0.5974
Eva[02/10]: 002/128, [>                                                 ],   1.56%, loss=1.0298, total=1.6272
Eva[02/10]: 003/128, [=>                                                ],   2.34%, loss=2.0380, total=3.6652
Eva[02/10]: 004/128, [=>                                                ],   3.12%, loss=0.7485, total=4.4137
Eva[02/10]: 005/128, [=>                                                ],   3.91%, loss=0.5584, total=4.9721
Eva[02/10]: 006/128, [==>                                               ],   4.69%, loss=0.6495, total=5.6216
Eva[02/10]: 007/128, [==>                                               ],   5.47%, loss=0.6827, total=6.3043
Eva[02/10]: 008/128, [===>                                              ],   6.25%, loss=0.8316, total=7.1360
Eva[02/10]: 009/128, [===>                                              ],   7.03%, loss=0.7794, total=7.9154
Eva[02/10]: 010/128, [===>                                              ],   7.81%, loss=1.1661, total=9.0815
Eva[02/10]: 011/128, [====>                                             ],   8.59%, loss=0.6877, total=9.7692
Eva[02/10]: 012/128, [====>                                             ],   9.38%, loss=0.5553, total=10.3245
Eva[02/10]: 013/128, [=====>                                            ],  10.16%, loss=0.5772, total=10.9017
Eva[02/10]: 014/128, [=====>                                            ],  10.94%, loss=0.6304, total=11.5320
Eva[02/10]: 015/128, [=====>                                            ],  11.72%, loss=0.7033, total=12.2353
Eva[02/10]: 016/128, [======>                                           ],  12.50%, loss=0.9829, total=13.2182
Eva[02/10]: 017/128, [======>                                           ],  13.28%, loss=0.7255, total=13.9437
Eva[02/10]: 018/128, [=======>                                          ],  14.06%, loss=0.6933, total=14.6370
Eva[02/10]: 019/128, [=======>                                          ],  14.84%, loss=0.6377, total=15.2747
Eva[02/10]: 020/128, [=======>                                          ],  15.62%, loss=0.6375, total=15.9122
Eva[02/10]: 021/128, [========>                                         ],  16.41%, loss=0.5995, total=16.5117
Eva[02/10]: 022/128, [========>                                         ],  17.19%, loss=0.5857, total=17.0974
Eva[02/10]: 023/128, [========>                                         ],  17.97%, loss=0.6999, total=17.7973
Eva[02/10]: 024/128, [=========>                                        ],  18.75%, loss=0.5288, total=18.3261
Eva[02/10]: 025/128, [=========>                                        ],  19.53%, loss=1.1833, total=19.5094
Eva[02/10]: 026/128, [==========>                                       ],  20.31%, loss=1.0991, total=20.6085
Eva[02/10]: 027/128, [==========>                                       ],  21.09%, loss=0.7032, total=21.3118
Eva[02/10]: 028/128, [==========>                                       ],  21.88%, loss=0.9056, total=22.2174
Eva[02/10]: 029/128, [===========>                                      ],  22.66%, loss=0.6053, total=22.8227
Eva[02/10]: 030/128, [===========>                                      ],  23.44%, loss=0.6962, total=23.5189
Eva[02/10]: 031/128, [============>                                     ],  24.22%, loss=0.6926, total=24.2115
Eva[02/10]: 032/128, [============>                                     ],  25.00%, loss=0.6769, total=24.8884
Eva[02/10]: 033/128, [============>                                     ],  25.78%, loss=0.7289, total=25.6173
Eva[02/10]: 034/128, [=============>                                    ],  26.56%, loss=0.7098, total=26.3271
Eva[02/10]: 035/128, [=============>                                    ],  27.34%, loss=0.5868, total=26.9138
Eva[02/10]: 036/128, [==============>                                   ],  28.12%, loss=0.6240, total=27.5378
Eva[02/10]: 037/128, [==============>                                   ],  28.91%, loss=0.7217, total=28.2596
Eva[02/10]: 038/128, [==============>                                   ],  29.69%, loss=1.5495, total=29.8091
Eva[02/10]: 039/128, [===============>                                  ],  30.47%, loss=0.6565, total=30.4656
Eva[02/10]: 040/128, [===============>                                  ],  31.25%, loss=0.6600, total=31.1256
Eva[02/10]: 041/128, [================>                                 ],  32.03%, loss=0.7225, total=31.8481
Eva[02/10]: 042/128, [================>                                 ],  32.81%, loss=0.7429, total=32.5911
Eva[02/10]: 043/128, [================>                                 ],  33.59%, loss=0.7857, total=33.3768
Eva[02/10]: 044/128, [=================>                                ],  34.38%, loss=0.7335, total=34.1103
Eva[02/10]: 045/128, [=================>                                ],  35.16%, loss=0.5994, total=34.7097
Eva[02/10]: 046/128, [=================>                                ],  35.94%, loss=0.5897, total=35.2993
Eva[02/10]: 047/128, [==================>                               ],  36.72%, loss=0.7741, total=36.0734
Eva[02/10]: 048/128, [==================>                               ],  37.50%, loss=0.8475, total=36.9209
Eva[02/10]: 049/128, [===================>                              ],  38.28%, loss=0.4945, total=37.4154
Eva[02/10]: 050/128, [===================>                              ],  39.06%, loss=1.1362, total=38.5516
Eva[02/10]: 051/128, [===================>                              ],  39.84%, loss=0.6789, total=39.2305
Eva[02/10]: 052/128, [====================>                             ],  40.62%, loss=1.2118, total=40.4424
Eva[02/10]: 053/128, [====================>                             ],  41.41%, loss=0.6493, total=41.0917
Eva[02/10]: 054/128, [=====================>                            ],  42.19%, loss=0.5640, total=41.6557
Eva[02/10]: 055/128, [=====================>                            ],  42.97%, loss=0.6923, total=42.3480
Eva[02/10]: 056/128, [=====================>                            ],  43.75%, loss=0.7778, total=43.1258
Eva[02/10]: 057/128, [======================>                           ],  44.53%, loss=0.8099, total=43.9357
Eva[02/10]: 058/128, [======================>                           ],  45.31%, loss=0.6012, total=44.5369
Eva[02/10]: 059/128, [=======================>                          ],  46.09%, loss=0.6680, total=45.2049
Eva[02/10]: 060/128, [=======================>                          ],  46.88%, loss=0.6257, total=45.8306
Eva[02/10]: 061/128, [=======================>                          ],  47.66%, loss=0.5842, total=46.4148
Eva[02/10]: 062/128, [========================>                         ],  48.44%, loss=0.6386, total=47.0534
Eva[02/10]: 063/128, [========================>                         ],  49.22%, loss=1.6833, total=48.7367
Eva[02/10]: 064/128, [=========================                         ],  50.00%, loss=0.7519, total=49.4886
Eva[02/10]: 065/128, [=========================>                        ],  50.78%, loss=0.6555, total=50.1442
Eva[02/10]: 066/128, [=========================>                        ],  51.56%, loss=0.7502, total=50.8944
Eva[02/10]: 067/128, [==========================>                       ],  52.34%, loss=0.6173, total=51.5117
Eva[02/10]: 068/128, [==========================>                       ],  53.12%, loss=0.8059, total=52.3176
Eva[02/10]: 069/128, [==========================>                       ],  53.91%, loss=0.5875, total=52.9051
Eva[02/10]: 070/128, [===========================>                      ],  54.69%, loss=0.7465, total=53.6516
Eva[02/10]: 071/128, [===========================>                      ],  55.47%, loss=0.6565, total=54.3082
Eva[02/10]: 072/128, [============================>                     ],  56.25%, loss=1.0700, total=55.3781
Eva[02/10]: 073/128, [============================>                     ],  57.03%, loss=0.8200, total=56.1982
Eva[02/10]: 074/128, [============================>                     ],  57.81%, loss=0.6330, total=56.8311
Eva[02/10]: 075/128, [=============================>                    ],  58.59%, loss=0.5505, total=57.3816
Eva[02/10]: 076/128, [=============================>                    ],  59.38%, loss=0.6866, total=58.0682
Eva[02/10]: 077/128, [==============================>                   ],  60.16%, loss=0.6045, total=58.6726
Eva[02/10]: 078/128, [==============================>                   ],  60.94%, loss=1.2299, total=59.9025
Eva[02/10]: 079/128, [==============================>                   ],  61.72%, loss=0.6630, total=60.5655
Eva[02/10]: 080/128, [===============================>                  ],  62.50%, loss=0.9707, total=61.5362
Eva[02/10]: 081/128, [===============================>                  ],  63.28%, loss=0.5271, total=62.0634
Eva[02/10]: 082/128, [================================>                 ],  64.06%, loss=0.6516, total=62.7149
Eva[02/10]: 083/128, [================================>                 ],  64.84%, loss=0.5155, total=63.2305
Eva[02/10]: 084/128, [================================>                 ],  65.62%, loss=0.6057, total=63.8362
Eva[02/10]: 085/128, [=================================>                ],  66.41%, loss=0.5684, total=64.4045
Eva[02/10]: 086/128, [=================================>                ],  67.19%, loss=0.6464, total=65.0510
Eva[02/10]: 087/128, [=================================>                ],  67.97%, loss=0.6626, total=65.7136
Eva[02/10]: 088/128, [==================================>               ],  68.75%, loss=0.5923, total=66.3059
Eva[02/10]: 089/128, [==================================>               ],  69.53%, loss=0.6227, total=66.9286
Eva[02/10]: 090/128, [===================================>              ],  70.31%, loss=0.7769, total=67.7055
Eva[02/10]: 091/128, [===================================>              ],  71.09%, loss=0.6744, total=68.3799
Eva[02/10]: 092/128, [===================================>              ],  71.88%, loss=0.8377, total=69.2177
Eva[02/10]: 093/128, [====================================>             ],  72.66%, loss=0.6071, total=69.8248
Eva[02/10]: 094/128, [====================================>             ],  73.44%, loss=0.7090, total=70.5337
Eva[02/10]: 095/128, [=====================================>            ],  74.22%, loss=0.7212, total=71.2550
Eva[02/10]: 096/128, [=====================================>            ],  75.00%, loss=0.6502, total=71.9052
Eva[02/10]: 097/128, [=====================================>            ],  75.78%, loss=0.6697, total=72.5749
Eva[02/10]: 098/128, [======================================>           ],  76.56%, loss=0.5625, total=73.1374
Eva[02/10]: 099/128, [======================================>           ],  77.34%, loss=0.7901, total=73.9275
Eva[02/10]: 100/128, [=======================================>          ],  78.12%, loss=1.4568, total=75.3842
Eva[02/10]: 101/128, [=======================================>          ],  78.91%, loss=0.7332, total=76.1175
Eva[02/10]: 102/128, [=======================================>          ],  79.69%, loss=0.6421, total=76.7595
Eva[02/10]: 103/128, [========================================>         ],  80.47%, loss=0.6867, total=77.4462
Eva[02/10]: 104/128, [========================================>         ],  81.25%, loss=0.7589, total=78.2051
Eva[02/10]: 105/128, [=========================================>        ],  82.03%, loss=0.8277, total=79.0328
Eva[02/10]: 106/128, [=========================================>        ],  82.81%, loss=0.6708, total=79.7036
Eva[02/10]: 107/128, [=========================================>        ],  83.59%, loss=0.6839, total=80.3875
Eva[02/10]: 108/128, [==========================================>       ],  84.38%, loss=0.5929, total=80.9804
Eva[02/10]: 109/128, [==========================================>       ],  85.16%, loss=0.9192, total=81.8996
Eva[02/10]: 110/128, [==========================================>       ],  85.94%, loss=1.1549, total=83.0545
Eva[02/10]: 111/128, [===========================================>      ],  86.72%, loss=0.6060, total=83.6605
Eva[02/10]: 112/128, [===========================================>      ],  87.50%, loss=0.7697, total=84.4302
Eva[02/10]: 113/128, [============================================>     ],  88.28%, loss=0.5560, total=84.9862
Eva[02/10]: 114/128, [============================================>     ],  89.06%, loss=0.6422, total=85.6284
Eva[02/10]: 115/128, [============================================>     ],  89.84%, loss=0.7560, total=86.3844
Eva[02/10]: 116/128, [=============================================>    ],  90.62%, loss=0.6628, total=87.0472
Eva[02/10]: 117/128, [=============================================>    ],  91.41%, loss=0.6161, total=87.6634
Eva[02/10]: 118/128, [==============================================>   ],  92.19%, loss=0.7144, total=88.3777
Eva[02/10]: 119/128, [==============================================>   ],  92.97%, loss=0.6570, total=89.0347
Eva[02/10]: 120/128, [==============================================>   ],  93.75%, loss=0.6809, total=89.7156
Eva[02/10]: 121/128, [===============================================>  ],  94.53%, loss=0.7086, total=90.4242
Eva[02/10]: 122/128, [===============================================>  ],  95.31%, loss=0.7012, total=91.1254
Eva[02/10]: 123/128, [================================================> ],  96.09%, loss=0.6136, total=91.7390
Eva[02/10]: 124/128, [================================================> ],  96.88%, loss=0.6403, total=92.3793
Eva[02/10]: 125/128, [================================================> ],  97.66%, loss=0.6698, total=93.0491
Eva[02/10]: 126/128, [=================================================>],  98.44%, loss=0.6913, total=93.7404
Eva[02/10]: 127/128, [=================================================>],  99.22%, loss=0.7713, total=94.5117
Eva[02/10]: 128/128, [==================================================], 100.00%, loss=0.7005, total=95.2122
Eva[02/10]: 128/128, [==================================================], 100.00%, loss=0.7438

Train[02/10]: 001/512, [>                                                 ],   0.20%, loss=1.2179, total=1.2179
Train[02/10]: 002/512, [>                                                 ],   0.39%, loss=1.1912, total=2.4091
Train[02/10]: 003/512, [>                                                 ],   0.59%, loss=0.7616, total=3.1707
Train[02/10]: 004/512, [>                                                 ],   0.78%, loss=0.7723, total=3.9430
Train[02/10]: 005/512, [>                                                 ],   0.98%, loss=0.9164, total=4.8594
Train[02/10]: 006/512, [>                                                 ],   1.17%, loss=0.7255, total=5.5849
Train[02/10]: 007/512, [>                                                 ],   1.37%, loss=0.9515, total=6.5364
Train[02/10]: 008/512, [>                                                 ],   1.56%, loss=0.4922, total=7.0286
Train[02/10]: 009/512, [>                                                 ],   1.76%, loss=0.6875, total=7.7160
Train[02/10]: 010/512, [>                                                 ],   1.95%, loss=0.7132, total=8.4293
Train[02/10]: 011/512, [=>                                                ],   2.15%, loss=0.7359, total=9.1651
Train[02/10]: 012/512, [=>                                                ],   2.34%, loss=0.7157, total=9.8808
Train[02/10]: 013/512, [=>                                                ],   2.54%, loss=0.6736, total=10.5544
Train[02/10]: 014/512, [=>                                                ],   2.73%, loss=0.6950, total=11.2494
Train[02/10]: 015/512, [=>                                                ],   2.93%, loss=0.6232, total=11.8726
Train[02/10]: 016/512, [=>                                                ],   3.12%, loss=0.8818, total=12.7544
Train[02/10]: 017/512, [=>                                                ],   3.32%, loss=0.7967, total=13.5511
Train[02/10]: 018/512, [=>                                                ],   3.52%, loss=0.8068, total=14.3579
Train[02/10]: 019/512, [=>                                                ],   3.71%, loss=0.5751, total=14.9329
Train[02/10]: 020/512, [=>                                                ],   3.91%, loss=0.5646, total=15.4975
Train[02/10]: 021/512, [==>                                               ],   4.10%, loss=0.7186, total=16.2161
Train[02/10]: 022/512, [==>                                               ],   4.30%, loss=0.6698, total=16.8859
Train[02/10]: 023/512, [==>                                               ],   4.49%, loss=0.8210, total=17.7069
Train[02/10]: 024/512, [==>                                               ],   4.69%, loss=0.5503, total=18.2572
